,lemma_word,word,ENT,suggested_by,rating,video_id,ENT_len,ENT_max
304,tride,tride,{'AREA'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,AREA
305,cardamom,cardamom,{'FOOD'},{'Golgappa Girl'},6.843724932249323,{'snwAYESRUEw'},1,FOOD
306,varship joker,varship joker,{'LANDMARK'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,LANDMARK
307,cardamom cardamom,cardamom cardamom,{'FOOD'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,FOOD
308,awadhesh prasad,awadhesh prasad,{'LANDMARK'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,LANDMARK
309,gautam tadka medium,gautam tadka medium,{'FOOD SHOP'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,FOOD SHOP
310,maggi tadka,maggi tadka,{'FOOD'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,FOOD
311,maggi masala,maggi masala,{'FOOD'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,FOOD
312,soumya beautiful,soumya beautiful,{'LANDMARK'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,LANDMARK
313,dainik bhaskar,dainik bhaskar,{'LANDMARK'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,LANDMARK
314,saif ali,saif ali,{'CLOTH SHOP'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,CLOTH SHOP
315,mi road,mi road,{'LANDMARK'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,LANDMARK
316,anadar,anadar,{'FOOD'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,FOOD
317,mutton curry,mutton curry,{'FOOD'},{'Golgappa Girl'},3.8437249322493225,{'snwAYESRUEw'},1,FOOD
318,mutton,mutton,{'FOOD'},{'Golgappa Girl'},4.843724932249323,{'snwAYESRUEw'},1,FOOD
319,deol akshay kumar,deol akshay kumar,{'LANDMARK'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,LANDMARK
320,mumbais dabe pav,mumbais dabe pav,{'LANDMARK'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,LANDMARK
321,pav dhol baje,pav dhol baje,{'FOOD'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,FOOD
322,masala bhaji,masala bhaji,{'FOOD'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,FOOD
323,mumbai,mumbai,{'CITY'},{'Golgappa Girl'},3.8437249322493225,{'snwAYESRUEw'},1,CITY
324,jal mahal parlor,jal mahal parlor,{'LANDMARK'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,LANDMARK
325,fennel,fennel,{'FOOD'},{'Golgappa Girl'},3.8437249322493225,{'snwAYESRUEw'},1,FOOD
326,ambar palace,ambar palace,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
327,mirza raja mansingh,mirza raja mansingh,{'ROADS'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,ROADS
328,aamir,aamir,{'CITY'},{'Traveller Rishabh'},10.518435828877006,{'48TcOu9kPqg'},1,CITY
329,aamir be,aamir is,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
330,bear,born,{'AREA'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,AREA
331,akbar,akbar,{'FOOD SHOP'},{'Traveller Rishabh'},5.5184358288770055,{'48TcOu9kPqg'},1,FOOD SHOP
332,shiromani temple,shiromani temple,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
333,sun pole,sun pole,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
334,moon pole,moon pole,{'LANDMARK'},{'Traveller Rishabh'},5.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
335,wala entrance,wala entrance,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
336,singh pol,singh pol,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
337,lion gate,lion gate,{'LANDMARK'},{'Traveller Rishabh'},5.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
338,sangh marmar,sangh marmar,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
339,ganesh pool gate,ganesh pool gate,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
340,ganesh gate ganesh,ganesh gate ganesh,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
341,honey temple,honey temple,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
342,saffron,saffron,"{'FOOD', 'LANDMARK'}",{'Traveller Rishabh'},8.518435828877006,{'48TcOu9kPqg'},2,FOOD
343,kashmir,kashmir,{'CITY'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,CITY
344,raja,raja,{'FOOD SHOP'},{'Traveller Rishabh'},7.5184358288770055,{'48TcOu9kPqg'},1,FOOD SHOP
345,ganesh ganesh,ganesh ganesh,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
346,zanana deodi,zanana deodi,{'LANDMARK'},{'Traveller Rishabh'},4.5184358288770055,{'48TcOu9kPqg'},1,LANDMARK
347,sindhi camp,sindhi camp,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
348,sindhi,sindhi,{'AREA'},{'Yatra Mitra'},5.017758713136729,{'dcRh1zTPnDQ'},1,AREA
349,scooty,scooty,{'FOOD'},{'Yatra Mitra'},6.017758713136729,{'dcRh1zTPnDQ'},1,FOOD
350,nahargarh in,nahargarh in,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
351,vaidyashala,vaidyashala,{'FOOD'},{'Yatra Mitra'},4.017758713136729,{'dcRh1zTPnDQ'},1,FOOD
352,surya pol,surya pol,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
353,see leo,see leo,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
354,ganesh poll,ganesh poll,{'FOOD SHOP'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,FOOD SHOP
355,ganesh ji,ganesh jis,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
